filename,X1,Y1,X2,Y2,X3,Y3,X4,Y4,type,,,
000350f572264bb89daf8be35ad1f2c0.jpg,1593,1055,1645,1055,1645,1107,1593,1107,2,,1619,1081
00047f0d6ae44f79907328060820b115.jpg,1070,950,1122,950,1122,1002,1070,1002,12,,1096,976
0004886b3f0f4347bc81827df8786d78.jpg,845,399,897,399,897,451,845,451,14,,871,425
001458e8683f4c8e98ca1c4e962787df.jpg,1254,1078,1306,1078,1306,1130,1254,1130,8,,1280,1104
00171d28d19a442e867a845d4d0c9415.jpg,916,753,968,753,968,805,916,805,6,,942,779
001a39da391a4535b0c6c67892a56716.jpg,923,688,975,688,975,740,923,740,13,,949,714
001dd7244e304115ae7f572f52205a44.jpg,2582,802,2634,802,2634,854,2582,854,16,,2608,828
001e36bb8f0e4465a54f9c7c2f6381e6.jpg,1636,844,1688,844,1688,896,1636,896,5,,1662,870
00210b2cb23c47b98423d17e162c39f3.jpg,994,719,1046,719,1046,771,994,771,2,,1020,745
00239af45e8a4448935ef3d78d5d339e.jpg,1421,579,1473,579,1473,631,1421,631,11,,1447,605
0026926f621c482393a17ec50229018c.jpg,1385,766,1437,766,1437,818,1385,818,9,,1411,792
0026bfbc03644960862daa69a0dd2f98.jpg,1763,873,1815,873,1815,925,1763,925,15,,1789,899
002727b778c8487f81fde7ba5ad335b3.jpg,677,819,729,819,729,871,677,871,2,,703,845
002b937bb6d34282b7c108986bcad889.jpg,1453,800,1505,800,1505,852,1453,852,15,,1479,826
002becd1c01d4916a065fbfd1e2b77fb.jpg,1348,608,1400,608,1400,660,1348,660,16,,1374,634
002d44d040504e99bdbe5e9748b44a54.jpg,1369,484,1421,484,1421,536,1369,536,18,,1395,510
002da67e260d44ba96ceeeb36caf2788.jpg,2197,512,2249,512,2249,564,2197,564,9,,2223,538
003134ba90764ebd8831031f4ffb2713.jpg,540,1134,592,1134,592,1186,540,1186,14,,566,1160
003354dc66904f57a1e923afeb60db3b.jpg,1986,859,2038,859,2038,911,1986,911,1,,2012,885
003398d974a745ae9307d85a51e38ac5.jpg,1556,914,1608,914,1608,966,1556,966,3,,1582,940
003417f1913b4226bd6701e6b2eeb820.jpg,747,1031,799,1031,799,1083,747,1083,2,,773,1057
